BookID	BookTitle	ISBN	Author	PurchaseDate	Status
0	Echo Angelica	3773739648655	Talitha Jang	11/8/2007	8145
1	Echo Angelica	3773739648655	Talitha Jang	11/8/2007	1000
2	Echo Angelica	3773739648655	Talitha Jang	11/8/2007	4955
3	Echo Angelica	3773739648655	Talitha Jang	11/8/2007	0
4	Echo Angelica	3773739648655	Talitha Jang	11/8/2007	1233
5	Always	3897532231260	Enda Marmon	9/2/2004	1222
6	Always	3897532231260	Enda Marmon	9/2/2004	1233
7	Always	3897532231260	Enda Marmon	9/2/2004	2760
8	Always	3897532231260	Enda Marmon	9/2/2004	9090
9	Always	3897532231260	Enda Marmon	9/2/2004	1222
10	Identity Bluets	6258622542068	Shirly Annunziata	16/7/2002	1233
11	Identity Bluets	6258622542068	Shirly Annunziata	16/7/2002	0
12	Identity Bluets	6258622542068	Shirly Annunziata	16/7/2002	0
13	Identity Bluets	6258622542068	Shirly Annunziata	16/7/2002	1233
14	Identity Bluets	6258622542068	Shirly Annunziata	16/7/2002	0
15	Lita Lucy	8373077182144	Sabra Cookson	20/2/1983	9090
16	Lita Lucy	8373077182144	Sabra Cookson	20/2/1983	0
17	Lita Lucy	8373077182144	Sabra Cookson	20/2/1983	0
18	Lita Lucy	8373077182144	Sabra Cookson	20/2/1983	8972
19	Lita Lucy	8373077182144	Sabra Cookson	20/2/1983	1201
20	Shane Beaufort	8814940664964	Enda Marmon	25/10/2011	7533
21	Shane Beaufort	8814940664964	Enda Marmon	25/10/2011	6036
22	Shane Beaufort	8814940664964	Enda Marmon	25/10/2011	1749
23	Shane Beaufort	8814940664964	Enda Marmon	25/10/2011	0
24	Shane Beaufort	8814940664964	Enda Marmon	25/10/2011	3586
25	Twilight	1823293515687	Miranda Mclellan	2/8/2011	1012
26	Twilight	1823293515687	Miranda Mclellan	2/8/2011	0
27	Twilight	1823293515687	Miranda Mclellan	2/8/2011	9429
28	Twilight	1823293515687	Miranda Mclellan	2/8/2011	0
29	Twilight	1823293515687	Miranda Mclellan	2/8/2011	4042
30	Eragon	3200503448595	Lady Bullen	7/7/2014	6868
31	Eragon	3200503448595	Lady Bullen	7/7/2014	0
32	Eragon	3200503448595	Lady Bullen	7/7/2014	2659
33	Eragon	3200503448595	Lady Bullen	7/7/2014	8237
34	Eragon	3200503448595	Lady Bullen	7/7/2014	0
35	Firewall Changeless	9237967268433	Argentina Narciso	19/8/2005	2332
36	Firewall Changeless	9237967268433	Argentina Narciso	19/8/2005	4774
37	Firewall Changeless	9237967268433	Argentina Narciso	19/8/2005	8678
38	Firewall Changeless	9237967268433	Argentina Narciso	19/8/2005	0
39	Firewall Changeless	9237967268433	Argentina Narciso	19/8/2005	3398
40	Emma Quentins	2260775113642	Dian Huard	23/10/1997	7685
41	Emma Quentins	2260775113642	Dian Huard	23/10/1997	6668
42	Emma Quentins	2260775113642	Dian Huard	23/10/1997	2842
43	Emma Quentins	2260775113642	Dian Huard	23/10/1997	0
44	Emma Quentins	2260775113642	Dian Huard	23/10/1997	7071
45	Eclipse Firewall	9888633140450	Fredia Hurston	17/3/2008	0
46	Eclipse Firewall	9888633140450	Fredia Hurston	17/3/2008	4486
47	Eclipse Firewall	9888633140450	Fredia Hurston	17/3/2008	5513
48	Eclipse Firewall	9888633140450	Fredia Hurston	17/3/2008	0
49	Eclipse Firewall	9888633140450	Fredia Hurston	17/3/2008	3265
50	Angelica	8888514967473	Arlie Sand	11/5/1999	0
51	Angelica	8888514967473	Arlie Sand	11/5/1999	1780
52	Angelica	8888514967473	Arlie Sand	11/5/1999	7232
53	Angelica	8888514967473	Arlie Sand	11/5/1999	6209
54	Angelica	8888514967473	Arlie Sand	11/5/1999	9027
55	PrairyErth Eunoia	7029623909847	Johna Darosa	7/5/2007	1625
56	PrairyErth Eunoia	7029623909847	Johna Darosa	7/5/2007	0
57	PrairyErth Eunoia	7029623909847	Johna Darosa	7/5/2007	9721
58	PrairyErth Eunoia	7029623909847	Johna Darosa	7/5/2007	9713
59	PrairyErth Eunoia	7029623909847	Johna Darosa	7/5/2007	0
60	Cubicles Birdsong	9087590758582	Sabra Cookson	16/9/2011	0
61	Cubicles Birdsong	9087590758582	Sabra Cookson	16/9/2011	0
62	Cubicles Birdsong	9087590758582	Sabra Cookson	16/9/2011	0
63	Cubicles Birdsong	9087590758582	Sabra Cookson	16/9/2011	0
64	Cubicles Birdsong	9087590758582	Sabra Cookson	16/9/2011	9571
65	Kitchen	3712366558666	Shirly Annunziata	4/1/2011	0
66	Kitchen	3712366558666	Shirly Annunziata	4/1/2011	0
67	Kitchen	3712366558666	Shirly Annunziata	4/1/2011	3724
68	Kitchen	3712366558666	Shirly Annunziata	4/1/2011	2472
69	Kitchen	3712366558666	Shirly Annunziata	4/1/2011	7627
70	Elsewhere	1402082895766	Shirly Annunziata	30/1/2010	7116
71	Elsewhere	1402082895766	Shirly Annunziata	30/1/2010	2016
72	Elsewhere	1402082895766	Shirly Annunziata	30/1/2010	0
73	Elsewhere	1402082895766	Shirly Annunziata	30/1/2010	4279
74	Elsewhere	1402082895766	Shirly Annunziata	30/1/2010	1608
75	Coraline	8478296814952	Robby Luedtke	17/6/2011	4451
76	Coraline	8478296814952	Robby Luedtke	17/6/2011	0
77	Coraline	8478296814952	Robby Luedtke	17/6/2011	9855
