Operation	BookID	ISBN	Date	MemberID	Rating
Return	103	4793854593159	02/12/2020	Null	2
Return	133	8342771545971	02/12/2020	Null	1
Return	43	2260775113642	02/12/2020	Null	1
Return	17	8373077182144	02/12/2020	Null	2
Return	55	7029623909847	02/12/2020	Null	2
Return	49	9888633140450	02/12/2020	Null	2
Return	41	2260775113642	02/12/2020	Null	2
Return	47	9888633140450	02/12/2020	Null	1
Return	2	3773739648655	02/12/2020	Null	1
Return	1	3773739648655	02/12/2020	Null	1
Return	11	6258622542068	02/12/2020	Null	2
Return	29	1823293515687	02/12/2020	Null	2
Return	16	8373077182144	02/12/2020	Null	2
Return	118	8988568858391	02/12/2020	Null	1
Return	114	8796709590234	02/12/2020	Null	2
Return	98	7464338391063	02/12/2020	Null	2
Return	96	7464338391063	02/12/2020	Null	1
Return	82	2859309779833	02/12/2020	Null	2
Return	71	1402082895766	02/12/2020	Null	1
Return	12	6258622542068	02/12/2020	Null	2
Return	149	1586946765570	02/12/2020	Null	2
Return	13	6258622542068	02/12/2020	Null	2
Return	121	3596400912373	02/12/2020	Null	2
Return	116	8988568858391	02/12/2020	Null	2
Return	92	4763656546182	02/12/2020	Null	1
Return	42	2260775113642	02/12/2020	Null	1
Return	137	1958206466218	02/12/2020	Null	1
Return	117	8988568858391	02/12/2020	Null	1
Return	36	9237967268433	02/12/2020	Null	2
Return	109	8341321120106	02/12/2020	Null	2
Return	107	8341321120106	02/12/2020	Null	2
Return	102	4793854593159	02/12/2020	Null	2
Return	46	9888633140450	02/12/2020	Null	2
Return	56	7029623909847	02/12/2020	Null	2
Return	9	3897532231260	02/12/2020	Null	2
Return	101	4793854593159	02/12/2020	Null	1
Return	32	3200503448595	02/12/2020	Null	1
Return	148	1586946765570	02/12/2020	Null	1
Return	85	9470611320631	02/12/2020	Null	1
Return	5	3897532231260	02/12/2020	Null	1
Return	37	9237967268433	02/12/2020	Null	2
Return	145	1586946765570	02/12/2020	Null	2
Return	64	9087590758582	02/12/2020	Null	2
Return	97	7464338391063	02/12/2020	Null	1
Return	27	1823293515687	02/12/2020	Null	2
Return	83	2859309779833	02/12/2020	Null	2
Return	44	2260775113642	02/12/2020	Null	2
Return	66	3712366558666	02/12/2020	Null	2
Return	10	6258622542068	02/12/2020	Null	2
Return	67	3712366558666	02/12/2020	Null	2
